"","adm1","adm2","month","year","conf"
"130","Conakry","Matam",2,2022,607
"131","Conakry","Matam",3,2018,140
"132","Conakry","Matam",3,2019,155
"133","Conakry","Matam",3,2020,344
"134","Conakry","Matam",3,2021,476
"135","Conakry","Matam",3,2022,763
"136","Conakry","Matam",4,2018,149
"137","Conakry","Matam",4,2019,121
"138","Conakry","Matam",4,2020,419
"139","Conakry","Matam",4,2021,493
"140","Conakry","Matam",4,2022,690
"141","Conakry","Matam",5,2018,129
"142","Conakry","Matam",5,2019,366
"143","Conakry","Matam",5,2020,343
"144","Conakry","Matam",5,2021,411
"145","Conakry","Matam",5,2022,493
"146","Conakry","Matam",6,2018,156
"147","Conakry","Matam",6,2019,192
"148","Conakry","Matam",6,2020,443
"149","Conakry","Matam",6,2021,650
"150","Conakry","Matam",6,2022,465
"151","Conakry","Matam",7,2018,353
"152","Conakry","Matam",7,2019,457
"153","Conakry","Matam",7,2020,631
"154","Conakry","Matam",7,2021,938
"155","Conakry","Matam",7,2022,942
"156","Conakry","Matam",8,2018,452
"157","Conakry","Matam",8,2019,821
"158","Conakry","Matam",8,2020,1070
"159","Conakry","Matam",8,2021,1334
"160","Conakry","Matam",8,2022,1396
"161","Conakry","Matam",9,2018,503
"162","Conakry","Matam",9,2019,1051
"163","Conakry","Matam",9,2020,1128
"164","Conakry","Matam",9,2021,1124
"165","Conakry","Matam",9,2022,1623
"166","Conakry","Matam",10,2018,526
"167","Conakry","Matam",10,2019,872
"168","Conakry","Matam",10,2020,913
"169","Conakry","Matam",10,2021,1166
"170","Conakry","Matam",10,2022,1263
"171","Conakry","Matam",11,2018,556
"172","Conakry","Matam",11,2019,1104
"173","Conakry","Matam",11,2020,932
"174","Conakry","Matam",11,2021,1326
"175","Conakry","Matam",11,2022,1239
"176","Conakry","Matam",12,2018,292
"177","Conakry","Matam",12,2019,788
"178","Conakry","Matam",12,2020,856
"179","Conakry","Matam",12,2021,1040
"180","Conakry","Matam",12,2022,1266
"181","Conakry","Matoto",1,2018,1575
"182","Conakry","Matoto",1,2019,2119
"183","Conakry","Matoto",1,2020,2521
"184","Conakry","Matoto",1,2021,4489
"185","Conakry","Matoto",1,2022,3638
"186","Conakry","Matoto",2,2018,1383
"187","Conakry","Matoto",2,2019,1376
"188","Conakry","Matoto",2,2020,2121
"189","Conakry","Matoto",2,2021,2492
"190","Conakry","Matoto",2,2022,2704
"191","Conakry","Matoto",3,2018,1193
"192","Conakry","Matoto",3,2019,1119
"193","Conakry","Matoto",3,2020,2202
"194","Conakry","Matoto",3,2021,2353
"195","Conakry","Matoto",3,2022,2152
"196","Conakry","Matoto",4,2018,1036
"197","Conakry","Matoto",4,2019,1009
"198","Conakry","Matoto",4,2020,1882
"199","Conakry","Matoto",4,2021,1921
"200","Conakry","Matoto",4,2022,1456
"201","Conakry","Matoto",5,2018,922
"202","Conakry","Matoto",5,2019,966
"203","Conakry","Matoto",5,2020,1681
"204","Conakry","Matoto",5,2021,1786
"205","Conakry","Matoto",5,2022,1663
"206","Conakry","Matoto",6,2018,1028
"207","Conakry","Matoto",6,2019,1350
"208","Conakry","Matoto",6,2020,2439
"209","Conakry","Matoto",6,2021,3397
"210","Conakry","Matoto",6,2022,3104
"211","Conakry","Matoto",7,2018,1974
"212","Conakry","Matoto",7,2019,2916
"213","Conakry","Matoto",7,2020,2770
"214","Conakry","Matoto",7,2021,3447
"215","Conakry","Matoto",7,2022,5274
"216","Conakry","Matoto",8,2018,2346
"217","Conakry","Matoto",8,2019,3749
"218","Conakry","Matoto",8,2020,4209
"219","Conakry","Matoto",8,2021,6328
"220","Conakry","Matoto",8,2022,7427
"221","Conakry","Matoto",9,2018,3017
"222","Conakry","Matoto",9,2019,3982
"223","Conakry","Matoto",9,2020,3537
"224","Conakry","Matoto",9,2021,5379
"225","Conakry","Matoto",9,2022,6409
"226","Conakry","Matoto",10,2018,2954
"227","Conakry","Matoto",10,2019,2701
"228","Conakry","Matoto",10,2020,2281
"229","Conakry","Matoto",10,2021,4292
"230","Conakry","Matoto",10,2022,5681
"231","Conakry","Matoto",11,2018,2650
"232","Conakry","Matoto",11,2019,3684
"233","Conakry","Matoto",11,2020,3539
"234","Conakry","Matoto",11,2021,5259
"235","Conakry","Matoto",11,2022,5417
"236","Conakry","Matoto",12,2018,2596
"237","Conakry","Matoto",12,2019,3163
"238","Conakry","Matoto",12,2020,4626
"239","Conakry","Matoto",12,2021,5238
"240","Conakry","Matoto",12,2022,5142
"241","Conakry","Ratoma",1,2018,2257
"242","Conakry","Ratoma",1,2019,1518
"243","Conakry","Ratoma",1,2020,2510
"244","Conakry","Ratoma",1,2021,4567
